Salt,Structure,Theory,Metal Basis Set,Halide Basis Set,Lattice Energy,a(0 K) [Angstrom],b(0 K) [Angstrom],c(0 K) [Angstrom],a(298 K) [Angstrom],b(298 K) [Angstrom],c(298 K) [Angstrom],Metal x,Metal y,Metal z,Halide x,Halide y,Halide z
LiBr,NiAs,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.04E+02,3.834241,3.834241,6.453363,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.05E+02,5.48604,5.48604,5.48604,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.00E+02,4.170566,4.170566,4.170566,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.00E+02,4.199353,4.199353,6.726892,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.51E+02,6.209909,8.42726,4.865481,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.58E+02,4.196273,4.196273,6.931819,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.58E+02,5.971393,5.971393,5.971393,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.54E+02,4.536791,4.536791,4.536791,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBE-rVV10L-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.55E+02,4.548361,4.548361,7.377501,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiF,FiveFive,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-1.02E+03,4.046505,5.788117,3.341771,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiF,NiAs,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-1.02E+03,2.801899,2.801899,4.858785,,,,0,0,0,0.333333,0.666667,0.25
LiF,Rocksalt,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-1.03E+03,4.038329,4.038329,4.038329,,,,0,0,0,0.5,0.5,0.5
LiF,Sphalerite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-1.01E+03,3.086329,3.086329,3.086329,,,,0,0,0,0.25,0.25,0.25
LiF,Wurtzite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-1.02E+03,3.102147,3.102147,4.985205,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiCl,FiveFive,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.44E+02,5.138506,7.273401,4.1993,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiCl,NiAs,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.50E+02,3.54623,3.54623,6.018888,,,,0,0,0,0.333333,0.666667,0.25
LiCl,Rocksalt,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.52E+02,5.084799,5.084799,5.084799,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.42E+02,3.879223,3.879223,3.879223,,,,0,0,0,0.25,0.25,0.25
